,song_id,song_name,lyrics,vagalume_song_url,vagalume_song_id
10,10,Esperando Na Janela,Quando me perdi|Você apareceu|Me fazendo rir|Do que aconteceu|E de medo olhei|Vi tudo ao meu redor|Só assim enxerguei|E agora eu estou melhor|Você é a escada da minha subida|Você é o amor da minha vida|É o meu abrir de olhos no amanhecer|Verdade que me leva a viver|Você é a espera na janela|A ave que vem de longe tão bela|A esperança que arde em calor|Você é a tradução do que é o amor|E a dor saiu|Foi você quem me curou|Quando o mal partiu|Vi que algo em mim mudou|No momento em que eu quis|Ficar junto de ti|E agora sou feliz|Pois te tenho bem aqui|Você é a escada da minha subida|Você é o amor da minha vida|É o meu abrir de olhos no amanhecer|Verdade que me leva a viver|Você é a espera na janela|A ave que vem de longe tão bela|A esperança que arde em calor|Você é a tradução do que é o amor (2x),https://www.vagalume.com.br/cesar-menotti-fabiano/esperando-na-janela.html,3ade68b7g2b167ea3
11,11,Leilão,Estou a beira da loucura|Ninguém mais me segura|Tô fora da sua vida|Eu já fui|Quero a minha liberdade|Posso até sentir saudade|Sei que custa dominar o coração|Mas meu amor não dá mais|Pra você tanto faz|Eu me entrego|Eu já fui|Eu quero a felicidade|Saber a verdade|Quem gosta de mim|Eu vou fazer um leilão|Quem da mais pelo meu coração|Me ajude voltar a viver|Eu prefiro que seja você|Eu vou fazer um leilão|Quem da mais pelo meu coração|Me ajude voltar a viver|Estou aqui tão perto|Me arremate para você.,https://www.vagalume.com.br/cesar-menotti-fabiano/leilao.html,3ade68b7g42137ea3
12,12,"Dias de Luta, Dias de Glória","Porque eu só faço o que o meu coração me manda|A galera faz barulho com o som da minha Banda|E quando a gente chega, a gente chega e toma conta|Na minha vida tudo acontece|Mas quanto mais a gente rala, mais a gente cresce|Hoje estou feliz porque eu sonhei com você|E amanhã posso chorar por não poder te ver|Mas o seu sorriso vale mais que um diamante|Se você vier comigo, aí nós vamos adiante|Com a cabeça erguida e mantendo a fé em Deus|O seu dia mais feliz vai ser o mesmo que o meu|A vida me ensinou a nunca desistir|Nem ganhar, nem perder mas procurar evoluir|Podem me tirar tudo que tenho|Só não podem me tirar as coisas boas que eu já fiz|pra quem eu amo|E eu sou feliz e canto e o universo é uma canção e|eu vou que vou|História, nossas histórias|Dias de luta, dias de glória|Oh minha gata, morada dos meus sonhos|Todo dia, se pudesse eu ia estar com você|Já te via muito antes nos meus sonhos|Eu procurei a vida inteira por alguém como você|Por isso eu canto a minha vida com orgulho|Com melodia, alegria e barulho|Eu sou feliz e rodo pelo mundo|Sou correria mas também sou vagabundo|Mas hoje dou valor de verdade pra minha saúde|pra minha liberdade|Que bom te encontrar nessa cidade|Esse brilho intenso me lembra você|História, nossas histórias|Dias de luta, dias de glória|Hoje estou feliz, acordei com o pé direito|E vou fazer de novo, vou fazer muito bem feito|Sintonia, telepatia, comunicação pelo cortex|boom bye bye",https://www.vagalume.com.br/charlie-brown-jr/dias-de-luta-dias-de-gloria.html,3ade68b7g970c5ea3
13,13,Ela Vai Voltar (Todos Os Defeitos de Uma Mulher Perfeita),"Minha mente nem sempre tão lúcida e fertil e me deu a voz|Minha mente nem sempre tão lúcida fez ela se afastar|Mas ela vai voltar|Mas ela vai voltar|Ela não é do tipo de mulher que se entrega na primeira|Mas melhora na segunda e o paraíso é na terceira|Ela tem força, ela tem sensibilidade, ela é guerreira|Ela é uma deusa, ela é mulher de verdade|Ela é daquelas que tu gosta na primeira|Se apaixona na segunda e perde a linha na terceira|Ela é discreta e cultua bons livros|E ama os animais, tá ligado eu sou o bicho|Minha mente nem sempre tão lúcida é fértil e me deu a voz|Minha mente nem sempre tão lúcida fez ela se afastar|Mas ela vai voltar|Mas ela vai voltar|Deixa eu te levar pra ver o mundo, baby|Deixa eu te mostrar o melhor que eu posso ser|Deixa eu te levar pra ver o mundo, baby|Deixa eu te mostrar o melhor que eu posso ser|Ela não é do tipo de mulher que se entrega na primeira|Mas melhora na segunda e o paraíso é na terceira|Ela tem força, ela tem sensibilidade, ela é guerreira|Ela é uma deusa, ela é mulher de verdade|Ela é daquelas que tu gosta na primeira|Se apaixona na segunda e perde a linha na terceira|Ela é discreta e cultua bons livros|E ama os animais, tá ligado eu sou o bicho|Minha mente nem sempre tão lúcida é fertil e me deu a voz|Minha mente nem sempre tão lúcida fez ela se afastar|Mas ela vai voltar|Mas ela vai voltar|Fazer da vida o que melhor possa ser|Traçar um rumo novo em direção ao sol|Me sinto muito bem|Quando vejo o pôr do sol|Só pra fazer nascer a lua|Minha mente nem sempre tão lúcida e fértil e me deu a voz|Minha mente nem sempre tão lúcida fez ela se afastar|Mas ela vai voltar|Mas ela vai voltar|Mas ela vai voltar|Mas ela vai voltar",https://www.vagalume.com.br/charlie-brown-jr/6-ela-vai-voltar-todos-os-defeitos-de-uma-mulher-perfeita.html,3ade68b7g099b5ea3
14,14,Só Os Loucos Sabem,"Agora eu sei exatamente o que fazer,|Bom recomeçar, poder contar com você,|Pois eu me lembro de tudo irmão, eu estava lá também,|Um homem quando esta em paz,|Não quer guerra com ninguém|Eu segurei minhas lágrimas,|Pois não queria demonstrar a emoção,|Já que estava ali só pra observar|E aprender um pouco mais sobre a percepção,|Eles dizem que é impossível encontrar o amor|Sem perder a razão,|Mas pra quem tem pensamento forte,|O impossível é só questão de opinião|E disso os loucos sabem, só os loucos sabem,|Disso os loucos sabem, só os loucos sabem|Toda positividade eu desejo a você,|Pois precisamos disso, nos dias de luta,|O medo cega os nossos sonhos,|O medo cega os nossos sonhos,|Menina linda eu quero morar na sua rua,|Você deixou saudade, você deixou saudade,|Quero te ver outra vez, quero te ver outra vez,|Você deixou saudade,|Agora eu sei exatamente o que fazer,|Bom recomeçar, poder contar com você,|Pois eu me lembro de tudo irmão, eu estava lá também|Um homem quando está em paz|Não quer guerra com ninguém.",https://www.vagalume.com.br/charlie-brown-jr/so-os-loucos-sabem.html,3ade68b8g1015afa3
15,15,A Banda,"Estava à toa na vida|O meu amor me chamou|Pra ver a banda passar|Cantando coisas de amor|A minha gente sofrida|Despediu-se da dor|Pra ver a banda passar|Cantando coisas de amor|O homem sério que contava dinheiro parou|O faroleiro que contava vantagem parou|A namorada que contava as estrelas parou|Para ver, ouvir e dar passagem|A moça triste que vivia calada sorriu|A rosa triste que vivia fechada se abriu|E a meninada toda se assanhou|Pra ver a banda passar|Cantando coisas de amor|O velho fraco se esqueceu do cansaço e pensou|Que ainda era moço pra sair no terraço e dançou|A moça feia debruçou na janela|Pensando que a banda tocava pra ela|A marcha alegre se espalhou na avenida e insistiu|A lua cheia que vivia escondida surgiu|Minha cidade toda se enfeitou|Pra ver a banda passar cantando coisas de amor|Mas para meu desencanto|O que era doce acabou|Tudo tomou seu lugar|Depois que a banda passou|E cada qual no seu canto|Em cada canto uma dor|Depois da banda passar|Cantando coisas de amor|© 1966 by Editora Musical Brasileira Moderna Ltda.|Administrada por Fermata do Brasil",https://www.vagalume.com.br/chico-buarque/a-banda.html,3ade68b6g67c1fda3
16,16,Cálice (part. Milton Nascimento),"Pai, afasta de mim esse cálice|Pai, afasta de mim esse cálice|Pai, afasta de mim esse cálice|De vinho tinto de sangue|Como beber dessa bebida amarga|Tragar a dor, engolir a labuta|Mesmo calada a boca, resta o peito|Silêncio na cidade não se escuta|De que me vale ser filho da santa|Melhor seria ser filho da outra|Outra realidade menos morta|Tanta mentira, tanta força bruta|Como é difícil acordar calado|Se na calada da noite eu me dano|Quero lançar um grito desumano|Que é uma maneira de ser escutado|Esse silêncio todo me atordoa|Atordoado eu permaneço atento|Na arquibancada pra a qualquer momento|Ver emergir o monstro da lagoa|De muito gorda a porca já não anda|De muito usada a faca já não corta|Como é difícil, pai, abrir a porta|Essa palavra presa na garganta|Esse pileque homérico no mundo|De que adianta ter boa vontade|Mesmo calado o peito, resta a cuca|Dos bêbados do centro da cidade|Talvez o mundo não seja pequeno|Nem seja a vida um fato consumado|Quero inventar o meu próprio pecado|Quero morrer do meu próprio veneno|Quero perder de vez tua cabeça|Minha cabeça perder teu juízo|Quero cheirar fumaça de óleo diesel|Me embriagar até que alguém me esqueça|1973 © by Cara Nova Editora Musical Ltda.",https://www.vagalume.com.br/chico-buarque/calice-part-milton-nascimento.html,3ade68b6gc8c1fda3
17,17,Construção,"Amou daquela vez como se fosse a última|Beijou sua mulher como se fosse a última|E cada filho seu como se fosse o único|E atravessou a rua com seu passo tímido|Subiu a construção como se fosse máquina|Ergueu no patamar quatro paredes sólidas|Tijolo com tijolo num desenho mágico|Seus olhos embotados de cimento e lágrima|Sentou pra descansar como se fosse sábado|Comeu feijão com arroz como se fosse um príncipe|Bebeu e soluçou como se fosse um náufrago|Dançou e gargalhou como se ouvisse música|E tropeçou no céu como se fosse um bêbado|E flutuou no ar como se fosse um pássaro|E se acabou no chão feito um pacote flácido|Agonizou no meio do passeio público|Morreu na contramão atrapalhando o tráfego|Amou daquela vez como se fosse o último|Beijou sua mulher como se fosse a única|E cada filho como se fosse o pródigo|E atravessou a rua com seu passo bêbado|Subiu a construção como se fosse sólido|Ergueu no patamar quatro paredes mágicas|Tijolo com tijolo num desenho lógico|Seus olhos embotados de cimento e tráfego|Sentou pra descansar como se fosse um príncipe|Comeu feijão com arroz como se fosse o máximo|Bebeu e soluçou como se fosse máquina|Dançou e gargalhou como se fosse o próximo|E tropeçou no céu como se ouvisse música|E flutuou no ar como se fosse sábado|E se acabou no chão feito um pacote tímido|Agonizou no meio do passeio náufrago|Morreu na contramão atrapalhando o público|Amou daquela vez como se fosse máquina|Beijou sua mulher como se fosse lógico|Ergueu no patamar quatro paredes flácidas|Sentou pra descansar como se fosse um pássaro|E flutuou no ar como se fosse um príncipe|E se acabou no chão feito um pacote bêbado|Morreu na contra-mão atrapalhando o sábado|Por esse pão pra comer, por esse chão prá dormir|A certidão pra nascer e a concessão pra sorrir|Por me deixar respirar, por me deixar existir,|Deus lhe pague|Pela cachaça de graça que a gente tem que engolir|Pela fumaça e a desgraça, que a gente tem que tossir|Pelos andaimes pingentes que a gente tem que cair,|Deus lhe pague Pela mulher carpideira pra nos louvar e cuspir|E pelas moscas bicheiras a nos beijar e cobrir|E pela paz derradeira que enfim vai nos redimir,|Deus lhe pague|1971 © by Cara Nova Editora Musical Ltda.",https://www.vagalume.com.br/chico-buarque/construcao.html,3ade68b6gf8c1fda3
18,18,60 Dias Apaixonado,"Viajando pra Mato Grosso|Aparecida do Taboado|Lá conheci uma morena, que me deixou amarrado|Deixei a linda pequena|Por Deus, confesso, desconsolado|Mudei o jeito de ser|Bebendo pra esquecer, 60 dias apaixonado|Dois meses juntinho dela|Eternamente serão lembrados|Pedaço da minha vida, lembranças do meu passado|Jamais será esquecida|A imagem bela de um anjo amado|Dois meses passaram logo|É num copo que eu afogo, 60 dias apaixonado|Se alguém fala em Mato Grosso|Eu sinto o peito despedaçado|O pranto rola depressa|No meu rosto já cansado|Jamais eu esquecerei Aparecida do Taboado|Deixei a minha querida|Deixei minha própria vida, 60 dias apaixonado",https://www.vagalume.com.br/chitaozinho-e-xororo/60-dias-apaixonado.html,3ade68b7geacf7ea3
19,19,Evidências,"Quando digo que deixei de te amar|É porque eu te amo|Quando eu digo que não quero mais você|É porque eu te quero|Eu tenho medo de te dar meu coração|E confessar que eu estou em tuas mãos|Mas não posso imaginar o que vai ser de mim|Se eu te perder um dia|Eu me afasto e me defendo de você|Mas depois me entrego|Faço tipo, falo coisas que eu não sou|Mas depois eu nego|Mas a verdade é que eu sou louco por você|E tenho medo de pensar em te perder|Eu preciso aceitar que não dá mais|Pra separar as nossas vidas|E nessa loucura de dizer que não te quero|Vou negando as aparências|Disfarçando as evidências|Mas pra que viver fingindo|Se eu não posso enganar meu coração|Eu sei que te amo|Chega de mentiras, de negar o meu desejo|Eu te quero mais do que tudo|Eu preciso do seu beijo|Eu entrego a minha vida|Pra você fazer o que quiser de mim|Só quero ouvir você dizer que sim|Diz que é verdade, que tem saudade|Que ainda você pensa muito em mim|Diz que é verdade, que tem saudade|Que ainda você quer viver pra mim",https://www.vagalume.com.br/chitaozinho-e-xororo/evidencias-2.html,3ade68b7gd5402ea3
